Province,Province_Code,City,City_Code,Region,Region_Code,TotalNum,ActiveNum,TransRate,TransRate2
浙江,33,金华市,196,浦江县,2091,60,50,0.83,83.33%
浙江,33,衢州市,197,常山县,2101,22,15,0.68,68.18%
浙江,33,舟山市,198,岱山县,2109,25,17,0.68,68.00%
浙江,33,丽水市,481,云和县,4529,7,5,0.71,71.43%
浙江,33,台州市,199,天台县,2118,28,20,0.71,71.43%
浙江,33,杭州市,190,安吉县,4542,1,0,0.00,0.00%
浙江,33,丽水市,481,遂昌县,4535,17,14,0.82,82.35%
浙江,33,温州市,192,文成县,2058,12,7,0.58,58.33%
浙江,33,丽水市,481,庆元县,4530,8,5,0.63,62.50%
浙江,33,温州市,192,平阳县,2056,36,19,0.53,52.78%
浙江,33,衢州市,197,开化县,2102,26,20,0.77,76.92%
浙江,33,金华市,196,武义县,2090,34,25,0.74,73.53%
浙江,33,宁波市,191,江东区,2039,13,7,0.54,53.85%
浙江,33,金华市,196,金东区,2089,45,27,0.60,60.00%
浙江,33,丽水市,481,龙泉市,4537,11,9,0.82,81.82%
浙江,33,杭州市,190,-1,-1,703,690,0.98,98.15%
浙江,33,丽水市,481,松阳县,4532,9,5,0.56,55.56%
浙江,33,温州市,192,洞头县,2054,3,2,0.67,66.67%
浙江,33,舟山市,198,嵊泗县,2110,2,2,1.00,100.00%
浙江,33,杭州市,190,绍兴县,4540,1,0,0.00,0.00%
浙江,33,杭州市,190,海宁市,4541,2,2,1.00,100.00%
